id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
8_0,8,2025-01-16 16:51:48,103,2430,Thursday,395,132,546,246,510,215,139,107,home,False
8_10,8,2025-01-16 16:54:15,24,208,Thursday,470,3,550,152,492,46,80,93,home,False
8_27,8,2025-01-16 16:56:41,10,293,Thursday,492,31,572,197,542,113,40,169,home,False
8_8,8,2025-01-16 16:53:45,18,445,Thursday,427,97,519,245,484,100,117,167,home,False
8_32,8,2025-01-16 16:58:09,15,390,Thursday,492,66,568,206,531,129,66,125,home,False
8_32,8,2025-01-16 16:58:58,8,236,Thursday,524,54,599,213,562,127,90,164,home,False
8_31,8,2025-01-16 16:57:42,26,339,Thursday,481,121,541,266,532,178,50,147,home,True
8_8,8,2025-01-16 16:57:42,24,292,Thursday,458,124,518,258,482,196,70,132,home,False
5_10,5,2025-01-16 17:01:27,85,842,Thursday,434,10,956,414,755,187,538,375,home,True
5_6,5,2025-01-16 17:00:19,41,582,Thursday,503,22,827,311,685,148,278,293,home,True
9_0,9,2025-01-16 16:50:53,52,509,Thursday,321,154,364,204,343,179,43,49,home,False
5_1,5,2025-01-16 16:53:04,468,6662,Thursday,277,165,780,612,611,250,383,338,home,False
5_3,5,2025-01-16 16:51:13,87,1422,Thursday,470,94,891,438,735,243,465,277,home,True
8_5,8,2025-01-16 17:02:33,34,359,Thursday,552,43,613,185,589,112,55,142,home,False
8_28,8,2025-01-16 17:02:00,27,237,Thursday,490,90,574,236,527,164,80,158,home,False
8_31,8,2025-01-16 17:01:38,19,209,Thursday,479,103,563,262,523,203,68,99,home,False
8_32,8,2025-01-16 17:02:06,27,307,Thursday,538,72,592,246,562,151,40,205,home,False
5_8,5,2025-01-16 17:02:51,181,3645,Thursday,404,32,923,474,703,320,440,308,home,False
8_40,8,2025-01-16 17:01:00,31,828,Thursday,565,295,732,367,672,277,167,59,home,True
8_51,8,2025-01-16 17:04:09,103,442,Thursday,360,177,410,314,386,246,49,136,home,False
